Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
50,Georgia Tech,ACC,,7,6,6.44,-2.73,3.71,48.06,12.29,9.46,5.52,6.73,4.02,7.86,4.72
51,UTSA,American,,9,4,2.69,0.74,3.42,43.30,11.07,8.38,5.48,5.33,2.70,6.74,4.09
52,Florida,SEC (East),,5,7,4.22,-0.91,3.31,46.49,8.98,10.04,6.14,5.66,3.49,7.67,4.73
53,Air Force,MWC,,9,4,-1.44,4.68,3.25,39.99,7.30,11.89,5.71,5.96,2.26,6.76,3.97
54,Appalachian State,Sun Belt (East),,9,5,7.47,-4.33,3.14,46.29,15.99,9.36,5.48,5.79,3.97,7.37,4.72
55,Northwestern,Big Ten (West),,8,5,0.66,1.87,2.53,40.86,8.99,8.90,5.54,4.40,2.81,6.41,4.02
56,Nevada-Las Vegas,MWC,,9,5,7.05,-4.66,2.39,47.41,16.22,9.74,7.13,5.31,3.37,7.20,5.10
57,UCF,Big 12,,6,7,1.57,0.77,2.34,45.50,8.52,10.50,5.21,6.47,3.51,8.10,4.29
58,South Carolina,SEC (East),,5,7,1.36,0.97,2.33,44.03,7.74,10.17,5.42,4.29,2.44,7.30,3.85
59,Toledo,MAC (West),,11,3,1.89,0.31,2.20,43.00,11.77,9.34,5.61,6.12,3.05,7.41,4.29
60,Nebraska,Big Ten (West),,5,7,-5.92,7.98,2.06,34.81,3.22,8.22,4.68,5.78,2.02,6.68,3.41
61,California,Pac-12,,6,7,5.93,-4.07,1.86,47.30,14.53,8.60,5.52,5.69,2.48,7.05,3.96
62,Miami (OH),MAC (East),,11,3,-4.47,6.22,1.75,35.40,6.41,8.94,5.80,5.18,2.74,6.53,4.20
63,South Alabama,Sun Belt (West),,7,6,-1.19,2.76,1.57,43.88,9.87,9.04,6.27,5.89,2.27,7.33,4.06
64,San Jose State,MWC,,7,6,0.17,1.01,1.18,43.33,10.52,8.82,4.59,6.41,3.35,7.49,3.98
65,Wyoming,MWC,,9,4,-1.89,3.07,1.18,37.76,8.81,8.39,4.76,5.34,3.20,6.50,4.09
66,Colorado,Pac-12,,4,8,6.37,-5.39,0.98,47.19,16.37,9.62,5.79,3.82,3.43,7.05,4.41
67,Coastal Carolina,Sun Belt (East),,8,5,-1.33,2.13,0.80,40.20,11.07,9.75,5.74,5.54,3.58,7.43,4.68
68,Jacksonville State,CUSA,,9,4,-0.59,1.27,0.68,40.37,11.15,7.72,5.80,5.26,2.24,6.20,3.80
69,Arkansas,SEC (West),,4,8,0.81,-0.61,0.20,42.86,11.30,8.66,5.45,4.68,3.22,6.30,4.21
70,Western Kentucky,CUSA,,8,5,3.87,-3.78,0.09,43.10,17.78,8.72,5.35,4.74,4.16,7.00,4.73
71,Minnesota,Big Ten (West),,6,7,-0.42,0.42,-0.01,39.63,12.08,8.01,5.84,5.67,3.54,6.56,4.73
72,Texas State,Sun Belt (West),,8,5,7.99,-8.34,-0.35,47.43,21.64,9.09,6.58,5.55,3.12,7.13,4.70
73,Purdue,Big Ten (West),,4,8,3.71,-4.08,-0.38,44.47,15.29,8.84,6.32,6.04,2.75,7.26,4.48
74,Illinois,Big Ten (West),,5,7,3.83,-4.24,-0.42,43.23,13.89,9.62,5.47,5.47,2.62,7.53,4.03
75,Fresno State,MWC,,9,4,0.36,-0.90,-0.54,40.44,12.73,8.12,5.43,4.36,3.24,6.47,4.33
76,Ohio,MAC (East),,10,3,-6.25,5.59,-0.66,32.66,6.88,7.80,5.86,4.59,2.64,5.96,4.30
77,Mississippi State,SEC (West),,5,7,-4.26,3.48,-0.78,37.87,7.58,7.82,4.89,5.71,2.65,6.63,3.64
78,BYU,Big 12,,5,7,-1.27,0.36,-0.92,39.85,11.97,7.88,5.19,4.62,3.60,6.22,4.42
79,New Mexico State,CUSA,,10,5,-1.87,0.64,-1.23,36.97,11.69,9.45,6.44,6.20,3.76,7.60,5.09
80,Michigan State,Big Ten (East),,4,8,-4.56,3.02,-1.54,36.15,12.06,8.55,6.25,4.47,2.91,6.45,4.46
81,Bowling Green,MAC (East),,7,6,-0.66,-1.38,-2.04,38.47,13.56,8.12,5.89,5.10,3.09,6.40,4.44
